"id","codigo_prc","codigo_alt","codigo_man","codigo_gru","codigo_qui","valor_unid","numero_uni","identifica","nom_proced","valor_tar1","valor_tar6","codigo_liq","codigo_rip","estado_act"
"24","854100","854100","3","0","0","100","0",,"MASTECTOMIA  SIMPLE UNILATERAL SOD","0","0","H","45",
"25","854200","854200","3","0","0","100","0",,"MASTECTOMIA SIMPLE TOTAL BILATERAL SOD","0","0","H","45",
"26","854400","854400","3","0","0","100","0",,"MASTECTOMIA SIMPLE AMPLIADA BILATERAL SOD","0","0","H","45",
"27","853301","853301","3","0","0","100","0",,"MASTECTOMIA SUBCUTANEA CON RECONSTRUCCION SIMULTANEA","0","0","H","45",
"28","854501","854501","3","0","0","100","0",,"ESCISION DE MAMA  MUSCULOS PECTORALES Y GANGLIO LINFATICO REGIONALES","0","0","H","45",
"29","854600","854600","3","0","0","100","0",,"MASTECTOMIA RADICAL BILATERAL SOD","0","0","H","45",
"30","854701","854701","3","0","0","100","0",,"ESCISION DE MAMA  MUSCULOS  GANGLIOS LINFATICOS  AXILARES CLAVICULARES SUPRACLAVICULARES MAMARIOS INTERNOS Y MEDIASTINICOS","0","0","H","45",
"31","854800","854800","3","0","0","100","0",,"MASTECTOMIA RADICAL AMPLIADA BILATERAL SOD","0","0","H","45",
"32","402300","402300","3","0","0","100","0",,"ESCISION DE GANGLIO LINFATICO AXILAR SOD","0","0","H","45",
"33","854301","854301","3","0","0","100","0",,"MASTECTOMIA SIMPLE CON ESCISION DE GANGLIOS LINFATICOS REGIONALES","0","0","H","45",
"34","854502","854502","3","0","0","100","0",,"MASTECTOMIA RADICAL MODIFICADA UNILATERAL","0","0","H","45",
"35","853101","853101","3","0","0","100","0",,"MAMOPLASTIA DE REDUCCION POR GINECOMASTIA","0","0","H","45",
"36","852200","852200","3","0","0","100","0",,"RESECCION DE CUADRANTE DE MAMA SOD","0","0","H","45",
"37","852300","852300","3","0","0","100","0",,"MASTECTOMIA SUBTOTAL SOD","0","0","H","45",
"38","020101","020101","3","0","0","100","0",,"CORRECION DE CRANEO SINOSTOSIS  POR CRANIECTOMIA SIN AVANCES","0","0","H","45",
"39","020102","020102","3","0","0","100","0",,"CORRECION DE CRANEO SINOSTOSIS  POR CRANIECTOMIA CON AVANCE FRONTAL","0","0","H","45",
"40","020104","020104","3","0","0","100","0",,"CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA  CON AVANCE FRONTAL","0","0","H","45",
"41","020106","020106","3","0","0","100","0",,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA  CON AVANCE FRONTO-ORBITARIO","0","0","H","45",
"42","020107","020107","3","0","0","100","0",,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA  CON AVANCE FRONTO NASAL  LEFORT III","0","0","H","45",
"43","020108","020108","3","0","0","100","0",,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA  CON AVANCE FRONTO MAXILAR  LEFORT II","0","0","H","45",
"44","021212","021212","3","0","0","100","0",,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR  CON AVANCE FRONTO ORBITARIO Y PLASTIA DE MENINGE","0","0","H","45",
"45","021209","021209","3","0","0","100","0",,"CORRECION DE MENINGOCELE   POR CRANIECTOMIA","0","0","H","45",
"46","021210","021210","3","0","0","100","0",,"CORRECION DE MENINGOCELE   CON CRANEOPLASTIA","0","0","H","45",
"47","021211","021211","3","0","0","100","0",,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR  POR CRANIECTOMIA Y PLASTIA DE MENINGE","0","0","H","45",
"48","021213","021213","3","0","0","100","0",,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR  VIA TRANSNASAL ENDOSCOPICA","0","0","H","45",
"49","021214","021214","3","0","0","100","0",,"CORRECCION DE MENINGOENCEFALOCELE POR CRANIECTOMIA CON  PLASTIA DE MENINGE Y CRANEOPLASTIA","0","0","H","45",
"50","035201","035201","3","0","0","100","0",,"CORRECCION DE ANOMALIA DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL  CON DUROPLASTIA","0","0","H","45",
"51","035202","035202","3","0","0","100","0",,"CORRECCION DE ANOMALIA DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON LAMINECTOMIA C1-C2  Y DUROPLASTIA","0","0","H","45",
"52","020103","020103","3","0","0","100","0",,"CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA  POR CRANIECTOMIA MULTIPLE","0","0","H","45",
"53","020105","020105","3","0","0","100","0",,"CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA  POR CRANEOTOMIA","0","0","H","45",
"54","020201","020201","3","0","0","100","0",,"ESQUIRLECTOMIA CRANEAL A TRAVES DE TREPANACION     1","0","0","H","45",
"55","M11101","M11101","3","0","0","100","0",,"OOFOROSTOMIA  INCLUYE DRENAJE DE ABSCESO O QUISTE","0","0","H","45",
"56","652401","652401","3","0","0","100","0",,"PUNCION Y DRENAJE DE LESION  DE OVARIO POR LAPAROTOMIA","0","0","H","45",
"57","652200","652200","3","0","0","100","0",,"RESECCION CUNEIFORME EN OVARIO SOD","0","0","H","45",
"58","652101","652101","3","0","0","100","0",,"CISTECTOMIA DE OVARIO POR LAPAROTOMIA","0","0","H","45",
"59","652301","652301","3","0","0","100","0",,"RESECCION DE TUMOR DE OVARIO POR LAPAROTOMIA","0","0","H","45",
"60","652801","652801","3","0","0","100","0",,"RESECCION DE QUISTE PARA-OV┴RICO POR LAPAROTOMIA","0","0","H","45",
"61","020203","020203","3","0","0","100","0",,"REDUCCION DE FRACTURA CRANEAL  HUNDIMIENTO SIN COMPROMISO DE DURA  CON ESQUIRLECTOMIA Y CRANEOPLASTIA  1","0","0","H","45",
"62","652410","652410","3","0","0","100","0",,"OFOROSTOMIA","0","0","H","45",
"63","653101","653101","3","0","0","100","0",,"OOFORECTOMIA UNILATERAL POR LAPAROTOMIA","0","0","H","45",
"64","655101","655101","3","0","0","100","0",,"OOFORECTOMIA BILATERAL POR LAPAROTOMIA","0","0","H","45",
"65","655200","655200","3","0","0","100","0",,"ESCISION DE OVARIO REMANENTE SOLITARIO O UNICO SOD","0","0","H","45",
"66","653103","653103","3","0","0","100","0",,"OOFORECTOMIA  UNILATERAL CON  OMENTECTOMIA POR LAPAROTOMIA","0","0","H","45",
"67","655103","655103","3","0","0","100","0",,"OOFORECTOMIA  BILATERAL CON OMENTECTOMIA POR LAPAROTOMIA","0","0","H","45",
"68","020202","020202","3","0","0","100","0",,"DESBRIDAMIENTO DE FRACTURA COMPUESTA  CONMINUTA  DE CRANEO     1","0","0","H","45",
"69","020204","020204","3","0","0","100","0",,"REDUCCION DE FRACTURA COMPUESTA  CONMINUTA  DE CRANEO  CON PLASTIA DURAL Y LIMPIEZA HEMOSTASIA CEREBRAL  DESBRIDAMIENTO  EN UN SOLO TIEMPO     1","0","0","H","45",
"70","657801","657801","3","0","0","100","0",,"OOFOROPEXIA  UNILATERAL POR LAPAROTOMIA","0","0","H","45",
"71","657803","657803","3","0","0","100","0",,"OOFOROPEXIA BILATERAL POR LAPAROTOMIA","0","0","H","45",
"72","657802","657802","3","0","0","100","0",,"OOFOROPEXIA UNILATERAL  POR LAPAROSCOPIA","0","0","H","45",
"73","652910","652910","3","0","0","0","0",,"CITOREDUCCION DE TUMOR DE OVARIO","0","0","H","45",
"74","691910","691910","3","0","0","0","0",,"CITORREDUCCION DE TUMOR DE LIGAMENTO ANCHO O DE LIGAMENTO UTERO SACRO","0","0","H","45",
"75","012100","012100","3","0","0","0","0",,"INCISION  Y DRENAJE DE SENO FRONTAL SOD","0","0","H","45",
"76","012401","012401","3","0","0","100","0",,"DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL  POR  CRANEOTOMIA","0","0","H","45",
"77","012410","012410","3","0","0","100","0",,"EXTRACCION DE CUERPO EXTRAÐO INTRACRANEAL POR CRANEOTOMIA","0","0","H","45",
"78","012502","012502","3","0","0","100","0",,"DRENAJE DE COLECCION EPIDURAL SUPRATENTORIAL  POR  CRANIECTOMIA","0","0","H","45",
"79","012503","012503","3","0","0","100","0",,"DRENAJE DE COLECCION EPIDURAL FOSA POSTERIOR  POR CRANIECTOMIA","0","0","H","45",
"80","013103","013103","3","0","0","100","0",,"DRENAJE  DE ESPACIO SUBDURAL  EN FOSA POSTERIOR   POR CRANIECTOMIA","0","0","H","45",
"81","013110","013110","3","0","0","100","0",,"DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS","0","0","H","45",
"82","012402","012402","3","0","0","100","0",,"DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR  POR CRANEOTOMIA","0","0","H","45",
"83","013101","013101","3","0","0","100","0",,"DRENAJE DE ESPACIO SUBDURAL   POR CRANEOTOMIA","0","0","H","45",
"84","013102","013102","3","0","0","100","0",,"DRENAJE DE ESPACIO SUBDURAL    POR  TREPANACION","0","0","H","45",
"85","013104","013104","3","0","0","100","0",,"DRENAJE DE ESPACIO SUBDURAL    POR DRENAJE EXTERNO","0","0","H","45",
"86","017001","017001","3","0","0","100","0",,"DRENAJE DE COLECCIONES INTRACEREBRALES   POR CRANEOTOMIA","0","0","H","45",
"87","017303","017303","3","0","0","100","0",,"DRENAJE DE QUISTE TUMORAL INFRATENTORIAL","0","0","H","45",
"88","017805","017805","3","0","0","100","0",,"DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTICULAR","0","0","H","45",
"89","017004","017004","3","0","0","100","0",,"DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR  POR CRANEOTOMIA SUBOCCIPITAL","0","0","H","45",
"90","664001","664001","3","0","0","100","0",,"SALPINGECTOMIA UNILATERAL TOTAL POR LAPAROTOMIA","0","0","H","45",
"91","665001","665001","3","0","0","100","0",,"SALPINGECTOMIA BILATERAL TOTAL POR LAPAROTOMIA","0","0","H","45",
"92","665301","665301","3","0","0","100","0",,"ESCISION DE TROMPA DE FALOPIO REMANENTE","0","0","H","45",
"93","666110","666110","3","0","0","100","0",,"ESCISION DE LESION CON SALPINGECTOMIA PARCIAL","0","0","H","45",
"94","669110","669110","3","0","0","100","0",,"SALPINGO-OOFORECTOMIA UNILATERAL POR LAPAROTOMIA","0","0","H","45",
"95","669130","669130","3","0","0","100","0",,"ESCISION DE UN OVARIO  REMANENTE  SOLITARIO O UNICO  CON RESECCION DE TROMPA","0","0","H","45",
"96","669210","669210","3","0","0","100","0",,"SALPINGO-OOFORECTOMIA BILATERAL POR LAPAROTOMIA","0","0","H","45",
"97","663100","663100","3","0","0","100","0",,"SECCION Y/O LIGADURA DE TROMPAS DE FALOPIO  CIRUGIA DE POMEROY  POR MINILAPAROTOMIA SOD","0","0","H","45",
"98","385104","385104","3","0","0","100","0",,"OCLUSION  PINZAMIENTO  O LIGADURA DE ARTERIA CEREBRAL MEDIA","0","0","H","45",
"99","385102","385102","3","0","0","100","0",,"OCLUSION  PINZAMIENTO  O LIGADURA DE ARTERIA CAROTIDA INTRACEREBRAL","0","0","H","45",
"100","385103","385103","3","0","0","100","0",,"OCLUSION  PINZAMIENTO  O LIGADURA DE CAROTIDA EN SENO CAVERNOSO","0","0","H","45",
"101","660101","660101","3","0","0","100","0",,"SALPINGOSTOMIA Y DRENAJE TROMPA DE FALOPIO POR LAPAROTOMIA    86","0","0","H","45",
"102","660201","660201","3","0","0","100","0",,"SALPINGOSTOMIA  POR LAPAROTOMIA     86","0","0","H","45",
"103","667901","667901","3","0","0","100","0",,"SALPINGOPLASTIA  FIMBROPLASTIA   POR LAPAROTOMIA","0","0","H","45",
"104","M11212","M11212","3","0","0","100","0",,"SALPINGOPLASTIA  O  SALPINGONEOSTOMIA   POR MICROCIRUGIA","0","0","H","45",
"105","385111","385111","3","0","0","100","0",,"OCLUSION  PINZAMIENTO  O LIGADURA DE LESION  EN ARTERIA VERTEBRAL","0","0","H","45",
"106","385101","385101","3","0","0","100","0",,"OCLUSION  PINZAMIENTO  O LIGADURA DE ARTERIAS DE CIRCULACION CEREBRAL ANTERIOR","0","0","H","45",
"107","385105","385105","3","0","0","100","0",,"OCLUSION  PINZAMIENTO  O LIGADURA DE VASOS MENINGEOS Y/O SENOS DURALES","0","0","H","45",
"108","385110","385110","3","0","0","100","0",,"OCLUSION  PINZAMIENTO  O LIGADURA DE ARTERIAS DE CIRCULACION CEREBRAL POSTERIOR","0","0","H","45",
"109","652901","652901","3","0","0","100","0",,"LIBERACION O LISIS DE ADHERENCIAS  LEVES  MODERADAS O SEVERAS  DE OVARIO POR LAPAROTOMIA   24","0","0","H","45",
"110","667601","667601","3","0","0","100","0",,"SALPINGOLISIS POR LAPAROTOMIA","0","0","H","45",
"111","669901","669901","3","0","0","100","0",,"LIBERACION O LISIS DE ADHERENCIAS DE OVARIO Y TROMPAS DE FALOPIO POR LAPAROTOMIA","0","0","H","45",
"112","383101","383101","3","0","0","100","0",,"RESECCION DE MALFORMACION ARTERIOVENOSA SUPRATENTORIAL SPETZLER I Y II","0","0","H","45",
"113","383102","383102","3","0","0","100","0",,"RESECCION DE MALFORMACION ARTERIOVENOSA SUPRATENTORIAL SPETZLER III  IV Y V","0","0","H","45",
"114","383103","383103","3","0","0","100","0",,"RESECCION DE MALFORMACIONES ARTERIO VENOSAS DE LINEA MEDIA E INTRAVENTRICULAR","0","0","H","45",
"115","383104","383104","3","0","0","100","0",,"RESECCION DE MALFORMACION ARTERIOVENOSA INFRATENTORIAL SPETZLER I Y II","0","0","H","45",
"116","383105","383105","3","0","0","100","0",,"RESECCION DE MALFORMACION ARTERIOVENOSA INFRATENTORIAL SPETZLER  III  IV Y V","0","0","H","45",
"117","381203","381203","3","0","0","100","0",,"ENDARTERECTOMIA DE CAROTIDA INTERNA PORCION CERVICAL  76","0","0","H","45",
"118","381101","381101","3","0","0","100","0",,"ENDARTERECTOMIA DE LA CAROTIDA INTERNA PORCION INTRACRANEAL     76","0","0","H","45",
"119","380101","380101","3","0","0","100","0",,"TROMBOEMBOLECTOMIA DE CEREBRAL MEDIA     367","0","0","H","45",
"120","380102","380102","3","0","0","100","0",,"TROMBOEMBOLECTOMIA DE COMUNICANTE ANTERIOR     367","0","0","H","45",
"121","380103","380103","3","0","0","100","0",,"TROMBOEMBOLECTOMIA DE CAROTIDA INTERNA SUPRACLINOIDEA     367","0","0","H","45",
"122","380104","380104","3","0","0","100","0",,"TROMBOEMBOLECTOMIA DE OFTALMICA     367","0","0","H","45",
"123","383201","383201","3","0","0","100","0",,"RESECCION DE MALFORMACION ARTERIOVENOSA DE CUERO CABELLUDO     172","0","0","H","45",
"124","666210","666210","3","0","0","100","0",,"RESECCION DE LESION EN MESOSALPINX POR LAPAROTOMIA","0","0","H","45",
"125","691110","691110","3","0","0","100","0",,"RESECCION DE TUMOR DE LIGAMENTO ANCHO POR LAPAROTOMIA","0","0","H","45",
"126","691130","691130","3","0","0","100","0",,"SECCION DE LIGAMENTO UTERO SACRO POR LAPAROTOMIA","0","0","H","45",
"127","691901","691901","3","0","0","0","0",,"DRENAJE DE  COLECCION  DE LIGAMENTO ANCHO POR LAPAROTOMIA","0","0","H","45",
"128","015101","015101","3","0","0","100","0",,"RESECCION TUMOR OSEO  POR CRANEOTOMIA","0","0","H","45",
"129","015102","015102","3","0","0","100","0",,"RESECCION TUMOR OSEO  POR CRANIECTOMIA","0","0","H","45",
"130","020401","020401","3","0","0","100","0",,"CORRECCION DE DEFECTO OSEO PREEXISTENTE POR CRANEOPLASTIA  CON INJERTO AUTOLOGO O HETEROLOGO","0","0","H","45",
"131","016101","016101","3","0","0","100","0",,"RESECCION TUMOR DE MENINGE CEREBRAL  POR CRANEOTOMIA","0","0","H","45",
"132","016102","016102","3","0","0","100","0",,"RESECCION TUMOR  DE MENINGE CEREBRAL  POR CRANIECTOMIA CON DUROPLASTIA Y CRANEOPLASTIA","0","0","H","45",
"133","016201","016201","3","0","0","100","0",,"RESECCION TUMOR DE LA HOZ   POR CRANEOTOMIA Y PLASTIA","0","0","H","45",
"134","016301","016301","3","0","0","100","0",,"RESECCION TUMOR DEL TENTORIO  POR CRANEOTOMIA","0","0","H","45",
"135","015201","015201","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA ANTERIOR  POR VIA CRANEOFACIAL ANTERIOR","0","0","H","45",
"136","015203","015203","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA ANTERIOR  POR VIA  ANTEROLATERAL Y RINOTOMIA LATERAL","0","0","H","45",
"137","015204","015204","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA ANTERIOR  POR VIA  TRANSZIGOMATICA Y TRANSPALATAL","0","0","H","45",
"138","015302","015302","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA MEDIA  POR ABORDAJE TRANSMAXILAR","0","0","H","45",
"139","015305","015305","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA MEDIA  POR VIA SUBFRONTAL EXTENDIDA","0","0","H","45",
"140","015306","015306","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA MEDIA  POR VIA SUBTEMPORAL","0","0","H","45",
"141","015308","015308","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA MEDIA   POR VIA SUBFRONTAL","0","0","H","45",
"142","015310","015310","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA MEDIA   POR VIA TRANSESFENOIDAL","0","0","H","45",
"143","017202","017202","3","0","0","100","0",,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO  POR CRANEOTOMIA OSTEOPLASTICA","0","0","H","45",
"144","017204","017204","3","0","0","100","0",,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO  CON ESTIMULACION CORTICAL","0","0","H","45",
"145","017601","017601","3","0","0","100","0",,"RESECCION DE LESIONES VENTRICULARES SUPRATENTORIALES  POR CRANEOTOMIA","0","0","H","45",
"146","015202","015202","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA ANTERIOR  POR VIA CRANEOFACIAL ANTEROLATERAL","0","0","H","45",
"147","015301","015301","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA MEDIA  POR CRANEOTOMIA FRONTAL Y OSTEOTOMIA FRONTO ETMOIDAL","0","0","H","45",
"148","015304","015304","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA MEDIA  POR VIA SUBTEMPORAL Y OSTEOTOMIA ZIGOMATICA","0","0","H","45",
"149","015307","015307","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA MEDIA  POR VIA PREAURICULAR INFRATENTORIAL Y CERVICOTOMIA","0","0","H","45",
"150","015309","015309","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA MEDIA   POR ORBITOTOMIA LATERAL","0","0","H","45",
"151","017201","017201","3","0","0","100","0",,"RESECCION DE TUMOR SUPRATENTORIAL HEMISFERICO  POR CRANEOTOMIA","0","0","H","45",
"152","015311","015311","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA MEDIA   POR VIA TRANSESFENOIDAL ENDOSCOPICA     134","0","0","H","45",
"153","071400","071400","3","0","0","100","0",,"BIOPSIA DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD","0","0","H","45",
"154","076200","076200","3","0","0","100","0",,"ESCISION PARCIAL DE HIPOFISIS VIA TRANSESFENOIDAL SOD","0","0","H","45",
"155","076500","076500","3","0","0","100","0",,"ESCISION TOTAL DE HIPOFISIS POR VIA TRANSESFENOIDAL SOD","0","0","H","45",
"156","017401","017401","3","0","0","100","0",,"RESECCION DE TUMOR DE LINEA MEDIA SUPRATENTORIAL  POR CRANEOTOMIA","0","0","H","45",
"157","017801","017801","3","0","0","100","0",,"RESECCION DE LESIONES INTRAVENTICULARES DE LINEA MEDIA   POR CRANEOTOMIA","0","0","H","45",
"158","075300","075300","3","0","0","100","0",,"ESCISION PARCIAL DE GLANDULA PINEAL SOD","0","0","H","45",
"159","075400","075400","3","0","0","100","0",,"ESCISION TOTAL DE GLANDULA PINEAL  PINEALECTOMIA  SOD","0","0","H","45",
"160","076100","076100","3","0","0","100","0",,"ESCISION PARCIAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD","0","0","H","45",
"161","076400","076400","3","0","0","100","0",,"ESCISION TOTAL DE HIPOFISIS POR VIA TRANSFRONTAL SOD","0","0","H","45",
"162","017301","017301","3","0","0","100","0",,"RESECCION TUMOR INTRACEREBELOSO  POR CRANEOTOMIA SUBOCCIPITAL","0","0","H","45",
"163","017501","017501","3","0","0","100","0",,"RESECCION DE TUMOR DE LINEA MEDIA INFRATENTORIAL  EXTRA AXIAL  POR CRANEOTOMIA SUBOCCIPITAL","0","0","H","45",
"164","017504","017504","3","0","0","100","0",,"RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL   EXTRA AXIALES   POR CRANEOTOMIA SUBOCCIPITAL","0","0","H","45",
"165","017505","017505","3","0","0","100","0",,"RESECCION DE LESIONES EXOFITICAS SOLIDAS EN TRONCO CEREBRAL   EXTRA AXIALES   POR CRANEOTOMIA DE FOSA MEDIA","0","0","H","45",
"166","017508","017508","3","0","0","100","0",,"RESECCION DE LESIONES SOLIDAS O QUISTICAS  INTRAAXIALES  TRONCO CEREBRAL   POR CRANEOTOMIA SUBOCCIPITAL","0","0","H","45",
"167","017509","017509","3","0","0","100","0",,"RESECCION DE LESIONES SOLIDAS O QUISTICAS  INTRAAXIALES  TRONCO CEREBRAL   POR CRANEOTOMIA SUBTEMPORAL","0","0","H","45",
"168","015401","015401","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA POSTERIOR  POR VIA EXTREMO LATERAL","0","0","H","45",
"169","015402","015402","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA POSTERIOR  POR VIA FRONTO ORBITO ETMOIDAL","0","0","H","45",
"170","015403","015403","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA POSTERIOR  POR VIA SUBTEMPORAL PREAURICULAR INFRATEMPORAL Y CERVICOTOMIA TRANSMANDIBULAR","0","0","H","45",
"171","015404","015404","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA POSTERIOR  POR VIA TRANSORAL","0","0","H","45",
"172","015405","015405","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA POSTERIOR   POR VIA MAXILOTOMIA EXTENDIDA","0","0","H","45",
"173","015406","015406","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA POSTERIOR  POR VIA TRANSLABERINTICA","0","0","H","45",
"174","015407","015407","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA POSTERIOR  POR VIA TRANSCOCLEAR","0","0","H","45",
"175","015408","015408","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA POSTERIOR  POR VIA FOSA MEDIA","0","0","H","45",
"176","015409","015409","3","0","0","100","0",,"RESECCION DE TUMOR DE LA BASE DEL CRANEO  FOSA POSTERIOR   POR VIA SUBOCCIPITAL RETROMASTOIDEA","0","0","H","45",
"177","017701","017701","3","0","0","100","0",,"RESECCION DE LESIONES VENTRICULARES INFRATENTORIALES  POR CRANEOTOMIA SUBOCCIPITAL","0","0","H","45",
"178","028302","028302","3","0","0","100","0",,"COLOCACION EPIDURAL DEL ELECTRODO DE NEUROESTIMULACION INTRACRANEAL","0","0","H","45",
"179","028304","028304","3","0","0","100","0",,"IMPLANTACION DE RECEPTOR ELECTROENCEFALOGRAFICO POR TREPANACION","0","0","H","45",
"180","692210","692210","3","0","0","100","0",,"HISTEROPEXIA POR LAPAROTOMIA","0","0","H","45",
"181","692211","692211","3","0","0","100","0",,"HISTEROPEXIA POR LAPAROTOMIA CON SIMPATECTOMIA PRESACRA","0","0","H","45",
"182","692110","692110","3","0","0","0","0",,"INTERPOSICION TIPO WATKINS","0","0","H","45",
