"id","codigo_cum","codigo_atc","codigo_tip","clase_prod","clase_apli","nombre_far","nombre_gen","presentacion","unidad_med","unidad_int","concentrac","via_admini","referencia","reg_invima","valor_cost","valor_coiv","valor_vent","codtip_ser","porce_iva","porce_incr","saldo_actu","idcod_cent","realizar_m","estado_act"
"19",,,"3","3","1","APOSITOS DE GASA","APOSITOS DE GASA",,"UNIDAD",,,,,,"0","0","0","0","0","12","0","0",,
"20",,,"2","2","1","APRONAX SUPOSITORIO","APRONAX SUPOSITORIO","SUP","UN",,,,,,"194","194","217","0","0","12","0","0",,"A"
"21","19902391-02","N05BA06","1","1","1","ATIVAN X 1MG TABLETA","ATIVAN X 1MG TABLETA","TAB","MG",,"1",,,,"58","58","65","0","0","12","0","0",,
"22","A03BA01","A03BA01","1","1","1","ATROPINA 1MG/ML SOLUCIÓN INYECTABLE","ATROPINA 1MG/ML SOLUCIÓN INYECTABLE","INYECTABLE","MG/ML",,"1MG/ML",,,,"500","511","560","0","0","12","25","0",,
"23","J01EE01","J01EE01","1","1","1","BACTRIN F.","BACTRIN F.","FCO","MG",,"5",,,,"60","60","67","0","0","12","0","0",,
"24",,,"3","3","1","BAJA  LENGUAS X 20 UNIDADES","BAJA  LENGUAS X 20 UNIDADES",,"UNIDAD",,,,,,"72","0","81","1","0","12","15","0",,
"25","C07AB02","C07AB02","1","1","1","BETALOC 100 MG TABLETAS","BETALOC 100 MG TABLETAS","TAB","MG",,"100",,,,"0","0","0","0","0","12","0","0",,
"26","C07AB02","C07AB02","1","1","1","BETALOC I.V. 1MG X 5CC AMPOLLA","BETALOC I.V. 1MG X 5CC AMPOLLA","INY","MG",,"1",,,,"14950","14950","16744","0","0","12","0","0",,
"27",,,"3","3","1","BETHENE CREMA","BETHENE CREMA",,"UNIDAD",,,,,,"6806","6806","7623","0","0","12","0","0",,"A"
"28","A02AH99","A02AH99","1","3","1","BICARBONATO DE SODIO 10MEQ/10ML SOLUCIÓN INYECTABL","BICARBONATO DE SODIO 10MEQ/10ML SOLUCIÓN INYECTABL","SOLUCION INYECTABLE","MEQ/ML",,"10MEQ/10ML",,,,"711","0","796","0","0","12","10","0",,
"29",,,"3","3","1","BONE WAX","BONE WAX",,"UNIDAD",,,,,,"10320","10320","11558","0","0","12","0","0",,"A"
"30",,,"3","3","1","BURETROL","BURETROL",,"UNIDAD",,,,,,"3112","2016","3485","0","0","12","18","0",,
"31","R03CT05","R03CT05","1","1","1","BRICANYL X 0.5 MG/ML","BRICANYL X 0.5 MG/ML","AMP","MG",,"0.5",,,,"161","161","180","0","0","12","0","0",,
"32","A03DB04","A03DB04","1","1","1","BUSCAPINA COMPUESTA X 5ML","BUSCAPINA COMPUESTA X 5ML","INY","ML",,,,,,"2308","2308","2585","0","0","12","0","0",,
"33",,,"3","3","1","CABESTRILLOS","CABESTRILLOS",,"UNIDAD",,,,,,"8000","8000","8960","0","0","12","0","0",,
"34",,,"3","3","1","CANULA PARA OXIGENO NASAL ADULTO","CANULA PARA OXIGENO NASAL ADULTO",,"UNIDAD",,,,,,"2300","2300","2576","0","0","12","0","0",,
"35",,,"3","3","1","CARPULA DE XILOCAINA","CARPULA DE XILOCAINA",,"UNIDAD",,,,,,"630","630","706","0","0","12","0","0",,"A"
"36",,,"3","3","1","CAT GUT CROMADO 00 REF 923 (3.0)","CAT GUT CROMADO 00 REF 923 (3.0)",,"UNIDAD",,,,,,"9083","9083","10173","0","0","12","1","0",,
"37",,,"2","1","1","CEFACIDAL X 1 GR","CEFACIDAL X 1 GR",,,,,,,,"14281","14281","15995","0","0","12","0","0",,"A"
"38","H02AB01","H02AB01","1","1","1","CELESTONE CRONODOSE X 1 GR","CELESTONE CRONODOSE X 1 GR","INY","GR",,"1",,,,"7771","7771","8704","0","0","12","0","0",,
"39",,,"3","3","1","CINTA CONTROL AUTOCLAVE","CINTA CONTROL AUTOCLAVE",,"UNIDAD",,,,,,"0","0","0","0","0","12","0","0",,
"40",,,"3","3","1","CIDEX - 7 (GARHOX)","CIDEX - 7 (GARHOX)",,"UNIDAD",,,,,,"0","0","0","0","0","12","0","0",,"A"
"41",,,"3","3","1","CINTA DE ENMASCARA","CINTA DE ENMASCARA",,"UNIDAD",,,,,,"0","0","0","0","0","12","0","0",,
"42",,,"3","3","1","CYSTOFLOW","CYSTOFLOW",,"UNIDAD",,,,,,"6760","5376","7571","0","0","12","0","0",,"A"
"43",,,"3","3","1","CUCHILLA DE AFEITAR","CUCHILLA DE AFEITAR",,"UNIDAD",,,,,,"170","170","190","0","0","12","0","0",,"A"
"44",,,"3","3","1","CUCHILLA DE PEDICURE","CUCHILLA DE PEDICURE",,"UNIDAD",,,,,,"0","0","0","0","0","12","0","0",,"A"
"45",,,"3","3","1","CLAVOS DE KIRSCHNNER","CLAVOS DE KIRSCHNNER",,"UNIDAD",,,,,,"5850","5850","6552","0","0","12","0","0",,"A"
"46",,,"3","3","1","CLAVOS DE STEIMAN","CLAVOS DE STEIMAN",,"UNIDAD",,,,,,"4550","4550","5096","0","0","12","0","0",,"A"
"47",,,"3","3","1","CUCHILLETE CRESCENT","CUCHILLETE CRESCENT",,"UNIDAD",,,,,,"52200","52200","58464","0","0","12","0","0",,"A"
"48",,,"3","3","1","CUCHILLETE 3.2MM","CUCHILLETE 3.2MM",,"UNIDAD",,,,,,"46400","46400","51968","0","0","12","0","0",,"A"
"49","D06BA01","D06BA01","3","1","1","SULFAPLATA CREMA","SULFAPLATA CREMA","CREMA","MG",,,,,,"4700","46400","5264","0","0","12","0","0",,"A"
"50","B01AB05","B01AB05","1","1","1","CLEXANE X 10 MG","CLEXANE X 10 MG",,"MG",,,,,,"18798","18798","21054","0","0","12","0","0",,
"51","B05BA03","B05BA03","1","1","1","DEXTROSA 5% SOLUCIÓN INYECTABLE X 500ML","DEXTROSA 5% SOLUCIÓN INYECTABLE X 500ML","BOLSA","% / ML",,"500ML",,,,"3080","967","3450","0","0","12","24","0",,
"52","B05BA02","B05BA02","1","1","1","DEXTROSA AL 5% EN SOLUCION SALINA","DEXTROSA AL 5% EN SOLUCION SALINA","BOLSA","MG",,,,,,"942","942","1055","0","0","12","0","0",,"A"
"53",,,"3","3","1","DREN DE PENROSE","DREN DE PENROSE",,"UNIDAD",,,,,,"0","0","0","0","0","12","0","0",,"A"
"54","V03AN02","V03AN02","1","1","1","DIOXIDO DE CARBONO","DIOXIDO DE CARBONO",,"MG",,,,,,"0","0","0","0","0","12","0","0",,"A"
"55","00034363-03","N02BD02","1","1","1","DIPIRONA SODICA 1G/2ML SOLUCIÓN INYECTABLE","DIPIRONA SODICA 1G/2ML SOLUCIÓN INYECTABLE","INYECTABLE","MG/ML",,"1G/2ML",,,,"407","1907","456","0","0","12","52","0",,
"56","N02BA01","N02BA01","1","1","1","ACETAMINOFEN 150MG/5ML JARABE X 60ML","AACETAMINOFEN 150MG/5ML JARABE X 60ML","JARABE","MG/ML",,"150MG/5ML",,,,"946","0","1060","0","0","12","8","0",,
"57",,,"2","2","1","DORMICUN AMP X 5CC","DORMICUN AMP X 5CC","INY","MG",,,,,,"647","6470","725","0","0","12","0","0",,"A"
"58",,,"2","2","1","DORMICUN TABLETAS X 705MG","DORMICUN TABLETAS X 705MG","TAB","MG",,"705",,,,"1142","1142","1279","0","0","12","0","0",,"A"
"59",,,"2","2","1","EFFORTL AMPOLLA","EFFORTL AMPOLLA","INY","MG",,,,,,"1509","1509","1690","0","0","12","0","0",,"A"
"60",,,"3","3","1","EQUIPO DE TRANFUSION DE SANGRE S/A","EQUIPO DE TRANFUSION DE SANGRE S/A",,"UNIDAD",,,,,,"9400","9400","10528","0","0","12","0","0",,
"61",,,"3","3","1","ELECTRODOS PARA MONITOREO","ELECTRODOS PARA MONITOREO",,"UNIDAD",,,,,,"864","512","968","0","0","12","50","0",,
"62",,,"3","3","1","ESPARADRAPO DE TELA","ESPARADRAPO DE TELA",,"UNIDAD",,,,,,"48353","0","54155","0","0","12","6","0",,
"63",,,"3","3","1","ESTOQUINETA DE 3"" X 25 MTS","ESTOQUINETA DE 3"" X 25 MTS",,"UNIDAD",,,,,,"3108","3108","3481","0","0","12","0","0",,"A"
"64",,,"3","3","1","ETHIBON 0 REF B 412","ETHIBON 0 REF B 412",,"UNIDAD",,,,,,"8225","10693","9212","0","0","12","0","0",,
"65",,,"3","3","1","ETHIBON 0 REF B 411 AGUJA REDONDA","ETHIBON 0 REF B 411 AGUJA REDONDA",,"UNIDAD",,,,,,"7440","7440","8333","0","0","12","0","0",,
"66",,,"3","3","1","ETHIBON 0 TG 140-8 REF 771","ETHIBON 0 TG 140-8 REF 771",,"UNIDAD",,,,,,"24125","24125","27020","0","0","12","0","0",,
"67",,,"3","3","1","ETRANE FCO X 240CC","ETRANE FCO X 240CC",,"UNIDAD",,,,,,"254","254","284","0","0","12","0","0",,"A"
"68",,,"3","3","1","EXOVAC","EXOVAC",,"UNIDAD",,,,,,"32000","32000","35840","0","0","12","0","0",,"A"
"69","M01AC01","M01AC01","1","1","1","FELDENE AMPOLLAS","FELDENE AMPOLLAS",,"MG",,,,,,"0","0","0","0","0","12","0","0",,"A"
"70",,,"2","2","1","FENERGAN AMP X 2ML X 50 MG","FENERGAN AMP X 2ML X 50 MG","INY","MG",,"50",,,,"0","0","0","0","0","12","0","0",,"A"
"71","S01FB01","S01FB01","1","1","1","FELINEFRINA AL 10% SOLUCION OFTALMICA","FELINEFRINA AL 10% SOLUCION OFTALMICA","GOTAS","%",,"10",,,,"10690","10690","11973","0","0","12","0","0",,"A"
"72","N01AH01","N01AH01","1","1","1","FENTANILO CITRATO SOL. INYECTABLE","FENTANILO CITRATO SOL. INYECTABLE","INY","MG",,,,,,"7590","7590","8501","0","0","12","0","0",,"A"
"73",,,"2","2","1","FLUOTHANE - HALOTANE","FLUOTHANE - HALOTANE",,"MG",,,,,,"143000","143000","160160","0","0","12","0","0",,"A"
"74","D08AF99","D08AF99","1","1","1","FURACIN POMADA X 15 GRS","FURACIN POMADA X 15 GRS","CREMA","MG",,,,,,"0","0","0","0","0","12","0","0",,"A"
"75","C03CA01","C03CA01","1","1","1","FUROSEMIDA AMP X 20 MG","FUROSEMIDA AMP X 20 MG","INY","MG",,"20",,,,"0","0","0","0","0","12","0","0",,"A"
"76","J01GG03","J01GG03","1","1","1","GENTAMICINA SOL INY 40 MG","GENTAMICINA SOL INY 40 MG","INY","MG",,"40",,,,"683","683","765","0","0","12","0","0",,"A"
"77",,,"3","3","1","GRASAS 7.5 X 7.5 (3X3)","GRASAS 7.5 X 7.5 (3X3)",,"UNIDAD",,,,,,"15295","15295","17130","0","0","12","0","0",,
"78",,,"3","3","1","GASAS ROLLO","GASAS ROLLO",,"UNIDAD",,,,,,"0","0","0","0","0","12","0","0",,
"79",,,"3","3","1","GEL CONDUCTOR (SPECTRA 360)","GEL CONDUCTOR (SPECTRA 360)",,"UNIDAD",,,,,,"4737","0","5305","0","0","12","1","0",,
"80",,,"2","2","1","GLAUCORAL X 50 MG","GLAUCORAL X 50 MG","TAB","MG",,,,,,"367","367","411","0","0","12","0","0",,"A"
"81",,,"3","3","1","GLICERINA","GLICERINA",,"UNIDAD",,,,,,"0","0","0","0","0","12","0","0",,
"82","A12AA20","A12AA20","1","1","1","GLUCONATO DE CALCIO (QUIBICAL CIUM)","GLUCONATO DE CALCIO (QUIBICAL CIUM)","TAB","MG",,,,,,"0","0","0","0","0","12","0","0",,"A"
"83",,,"3","3","1","GUANTES 6 1/2","GUANTES 6 1/2",,"UNIDAD",,,,,,"1003","766","1123","0","0","12","83","0",,
"84",,,"3","3","1","GUANTES 7","GUANTES 7",,"UNIDAD",,,,,,"760","760","851","0","0","12","0","0",,
"85",,,"3","3","1","GUANTES 7 1/2","GUANTES 7 1/2",,"UNIDAD",,,,,,"2343","760","2624","0","0","12","49","0",,
"86",,,"3","3","1","GUANTES 8","GUANTES 8",,"UNIDAD",,,,,,"760","760","851","0","0","12","0","0",,
"87",,,"3","3","1","GUANTES PARA EXAMEN (ANESTESIA)","GUANTES PARA EXAMEN (ANESTESIA)",,"UNIDAD",,,,,,"0","0","0","0","0","12","0","0",,"A"
"88","S01AG03","S01AG03","1","1","1","GENTAMICINA SOL. OFT. 3 MG/ML","GENTAMICINA SOL. OFT. 3 MG/ML","GOTAS","MG",,"3",,,,"4500","4500","5040","0","0","12","0","0",,"A"
"89",,,"3","3","1","HOJA DE BISTURI 11","HOJA DE BISTURI 11",,"UNIDAD",,,,,,"205","205","230","0","0","12","0","0",,
"90",,,"3","3","1","HOJA DE BISTURI 12","HOJA DE BISTURI 12",,"UNIDAD",,,,,,"212","212","237","0","0","12","0","0",,
"91",,,"3","3","1","HOJA DE BISTURI 15","HOJA DE BISTURI 15",,"UNIDAD",,,,,,"205","205","230","0","0","12","0","0",,
"92","A20002691",,"3","3","1","HOJA DE BISTURI 20","HOJA DE BISTURI 20",,"UNIDAD",,,,,,"250","212","281","1","0","12","87","0",,
"93","B05XA30","B05XA30","1","1","1","RINGER LACTATO SOL. AMPOLLA","RINGER LACTATO SOL. AMPOLLA","INY","ML",,,,,,"2493","1480","2792","0","0","12","0","0",,"A"
"94",,,"2","2","1","HAEMACEL X 500ML","HAEMACEL X 500ML","FCO","MG",,,,,,"19197","19197","21501","0","0","12","0","0",,"A"
"95","N05BB01","N05BB01","1","1","1","HIDERAX AMP Y TABLETA","HIDERAX AMP Y TABLETA","TAB","MG",,,,,,"2051","2051","2297","0","0","12","0","0",,"A"
"96",,,"3","3","1","HIDROXIPROPILMETIL CELULOSA","HIDROXIPROPILMETIL CELULOSA",,"UNIDAD",,,,,,"22726","22726","25453","0","0","12","0","0",,"A"
"97",,,"2","2","1","HEALON X 10ML","HEALON X 10ML","INY","MG",,"0.55",,,,"69000","69000","77280","0","0","12","0","0",,"A"
"98","C01EB03","C01EB03","1","1","1","INDOMETACINA X 25MG","INDOMETACINA X 25MG",,"MG",,,,,,"26","26","29","0","0","12","0","0",,"A"
"99",,,"1","1","1","ISORDIL SUBLINGUAL TABLETA","ISORDIL SUBLINGUAL TABLETA","TAB","MG",,,,,,"87","87","97","0","0","12","0","0",,"A"
"100","D08AG02","D08AG02","3","3","1","ISODINE ESPUMA","ISODINE ESPUMA",,"UNIDAD",,,,,,"5000","47913","5600","1","0","12","1","0",,
"101","D08AG02","D08AG02","3","3","1","ISODINE SOLUCION","ISODINE SOLUCION",,"UNIDAD",,,,,,"74283","74283","83197","1","0","12","4","0",,
"102","C08DA01","C08DA01","1","1","1","ISOPTIN AMP X 2ML","ISOPTIN AMP X 2ML","INY","MG",,"2",,,,"388","388","435","0","0","12","0","0",,"A"
"103","S01EB01","S01EB01","1","1","1","ISOPTO CARPINA AL 2% X 15","ISOPTO CARPINA AL 2% X 15","UNG","%",,"2",,,,"3887","3887","4353","0","0","12","0","0",,"A"
"104",,,"3","3","1","ISORANE FRASCO X 120 ML","ISORANE FRASCO X 120 ML",,"UNIDAD",,,,,,"1166","1166","1306","0","0","12","0","0",,"A"
"105",,,"3","3","1","JELCO 14","JELCO 14",,"UNIDAD",,,,,,"1500","1500","1680","0","0","12","0","0",,"A"
"106",,,"3","3","1","JELCO 16","JELCO 16",,"UNIDAD",,,,,,"1237","1237","1385","0","0","12","0","0",,"A"
"107",,,"3","3","1","JELCO 18","JELCO 18",,"UNIDAD",,,,,,"1600","1600","1792","0","0","12","0","0",,"A"
"108",,,"3","3","1","JELCO 20","JELCO 20",,"UNIDAD",,,,,,"1000","1000","1120","0","0","12","0","0",,"A"
"109",,,"3","3","1","JELCO 22","JELCO 22",,"UNIDAD",,,,,,"1725","1725","1932","0","0","12","0","0",,"A"
"110",,,"3","3","1","JERINGA DE INSULINA POR 1 CC","JERINGA DE INSULINA POR 1 CC",,"UNIDAD",,,,,,"203","218","227","0","0","12","29","0",,
"111","19931807",,"3","3","1","JERINGA 3 CC","JERINGA 3 CC",,"UNIDAD",,,,,,"168","191","188","0","0","12","166","0",,
"112","19931807",,"3","3","1","JERINGA 5 CC","JERINGA 5 CC",,"UNIDAD",,,,,,"207","227","232","0","0","12","257","0",,
"113","19931807",,"3","3","1","JERINGA 10 CC","JERINGA 10 CC",,"UNIDAD",,,,,,"167","335","215","0","0","12","194","0",,
"114",,,"3","3","1","JERINGA 20 CC","JERINGA 20 CC",,"UNIDAD",,,,,,"448","465","502","0","0","12","104","0",,
"115",,,"3","3","1","JERINGA 60 CC","JERINGA 60 CC",,"UNIDAD",,,,,,"1250","1250","1400","0","0","12","0","0",,
"116","J01DB03","J01DB03","1","1","1","KEFLIN X 1GR","KEFLIN X 1GR",,"MG",,,,,,"3330","3330","3730","0","0","12","0","0",,"A"
"117",,,"3","3","1","LAPIZ ELECTROBISTURI (CABLE)","LAPIZ ELECTROBISTURI (CABLE)",,"UNIDAD",,,,,,"10800","10800","12096","0","0","12","0","0",,"A"
"118","N02BB02","N02BB02","2","1","1","LISALGIL AMPOLLA","LISALGIL AMPOLLA","INY","MG",,,,,,"2923","2923","3274","0","0","12","0","0",,"A"
"119","N02BB02","N02BB02","2","1","1","LISAGIL TABLETA","LISAGIL TABLETA","TAB","MG",,,,,,"117","117","131","0","0","12","0","0",,"A"
"120",,,"3","3","1","MASCARA LARINGEA","MASCARA LARINGEA",,"UNIDAD",,,,,,"0","0","0","0","0","12","0","0",,"A"
"121",,,"3","3","1","MARCAINA SIMPLE","MARCAINA SIMPLE",,"UNIDAD",,,,,,"2220","2220","2486","0","0","12","0","0",,"A"
"122",,,"3","3","1","MARCAINA CON EPINEFRINA","MARCAINA CON EPINEFRINA",,"UNIDAD",,,,,,"2620","2620","2934","0","0","12","0","0",,"A"
"123","J01XM02","J01XM02","1","1","1","METRONIDAZOL SOL INYECTABLE","METRONIDAZOL SOL INYECTABLE","INY","MG",,,,,,"3300","8745","3696","0","0","12","0","0",,
"124","N02AB02","N02AB02","1","1","1","MEPERIDINA CLORHIDRATO 100 MG/2 ML","MEPERIDINA CLORHIDRATO 100 MG/2 ML","INY","MG",,"100",,,,"300","300","336","0","0","12","0","0",,
"125",,,"3","3","1","MICROESPONJAS","MICROESPONJAS",,"UNIDAD",,,,,,"180","180","202","0","0","12","0","0",,"A"
"126",,,"3","3","1","MICROGOTEOS","MICROGOTEOS",,"UNIDAD",,,,,,"1314","1314","1472","0","0","12","0","0",,"A"
"127",,,"3","3","1","MICROPORE 2 PULGADA COLOR PIEL","MICROPORE 2 PULGADAS COLOR PIEL",,"UNIDAD",,,,,,"1779","1779","1992","1","0","12","3","0",,
"128",,,"3","3","1","MICROPORE 1 PULGADA  BLANCO","MICROPORE 1 PULGADA  BLANCO",,"UNIDAD",,,,,,"1206","1206","1351","1","0","12","0","0",,
"129",,,"3","3","1","MICROPORE 1 PULGADA COLOR PIEL","MICROPORE  1 PULGADA COLOR PIEL",,"UNIDAD",,,,,,"4056","2412","4543","1","0","12","9","0",,
"130",,,"3","3","1","MICROPORE 2 PULGADAS BLANCO","MICROPORE BLANCO DE DOS PULGADAS",,"UNIDAD",,,,,,"3866","2070","4330","0","0","12","6","0",,
"131",,,"3","3","1","MODIFICAL X 4MG","MODIFICAL X 4MG",,"UNIDAD",,,,,,"6442","6442","7215","0","0","12","0","0",,"A"
"132",,,"3","3","1","MONOCRIL 00 REF. 1/317","MONOCRIL 00 REF. 1/317",,"UNIDAD",,,,,,"8520","8520","9542","0","0","12","0","0",,"A"
"133",,,"3","3","1","MONOCRIL 4/0 PS 2 REF Y496","MONOCRIL 4/0 PS 2 REF Y496",,"UNIDAD",,,,,,"16000","16000","17920","0","0","12","0","0",,"A"
"134",,,"3","3","1","MONOCRIL 5/0 P-1 Y 490","MONOCRIL 5/0 P-1 Y 490",,"UNIDAD",,,,,,"13953","13953","15627","0","0","12","0","0",,"A"
"135","N02AA01","N02AA01","1","1","1","MORFINA CLORHIDRATO 10MG/ML SOLUCION INYECTABLE","MORFINA CLORHIDRATO 10MG/ML SOLUCION INYECTABLE","INYECTABLE","MG/ML",,"10MG/ML",,,,"1207","300","1352","0","0","12","10","0",,
"136",,,"3","3","1","MUÑEQUERAS","MUÑEQUERAS",,"UNIDAD",,,,,,"19000","19000","21280","0","0","12","0","0",,"A"
"137",,,"2","2","1","NARCAN","NARCAN",,"MG",,,,,,"17600","17600","19712","0","0","12","0","0",,"A"
"138",,,"2","2","1","NITRODISC POR 5MG","NITRODISC POR 5MG",,"MG",,"5",,,,"1788","1788","2003","0","0","12","0","0",,"A"
"139",,,"2","2","1","NORCURON AMP X 4MG","NORCURON AMP X 4MG","INY","MG",,"4",,,,"20000","20000","22400","0","0","12","0","0",,"A"
"140",,,"2","2","1","NUBAINE AMP X 10MG","NUBAINE AMP X 10MG","INY","MG",,"10",,,,"3652","3652","4090","0","0","12","0","0",,"A"
"141",,,"2","2","1","ORADEXON","ORADEXON","INY","MG",,,,,,"1943","1943","2176","0","0","12","0","0",,"A"
"142","N01AX13","N01AX13","1","1","1","OXIDO NITROSO","OXIDO NITROSO",,"KG",,,,,,"0","0","0","0","0","12","0","0",,"A"
"143","V03AN01","V03AN01","1","1","1","OXIGENO GAS","OXIGENO GAS",,"M3",,,,,,"4818","4818","5396","0","0","12","0","0",,"A"
"144",,,"3","3","1","PAVULON","PAVULON",,"UNIDAD",,,,,,"6500","6500","7280","0","0","12","0","0",,"A"
"145",,,"3","3","1","PSD 4/0 PC REF Z 845G","PSD 4/0 PC REF Z 845G",,"UNIDAD",,,,,,"9498","9498","10638","0","0","12","0","0",,"A"
"146",,,"3","3","1","PERICRANEAL # 21","PERICRANEAL # 21",,"UNIDAD",,,,,,"633","633","709","0","0","12","0","0",,"A"
"147",,,"3","3","1","PERICRANEAL # 25","PERICRANEAL # 25",,"UNIDAD",,,,,,"633","633","709","0","0","12","0","0",,"A"
"148",,,"3","3","1","PERIFIX SET G 18","PERIFIX SET G 18",,"UNIDAD",,,,,,"27000","27000","30240","0","0","12","0","0",,"A"
"149","A03FA01","A03FA01","1","1","1","PLASIL AMPOLLA","PLASIL AMPOLLA","INY","MG",,,,,,"899","899","1007","0","0","12","0","0",,"A"
"150",,,"3","3","1","POLYCOT 2/0 REF SPB 58T","POLYCOT 2/0 REF SPB 58T",,"UNIDAD",,,,,,"858","858","961","0","0","12","0","0",,"A"
"151",,,"3","3","1","POLUCOT 3/0 REF SPB 74T","POLUCOT 3/0 REF SPB 74T",,"UNIDAD",,,,,,"4320","4320","4838","0","0","12","0","0",,"A"
"152",,,"3","3","1","PRESTOBARBA","PRESTOBARBA",,"UNIDAD",,,,,,"1540","1540","1725","0","0","12","0","0",,"A"
"153","M01AE03","M01AE03","1","1","1","PROFENID INYECTABLE 100 MG/2ML","PROFENID INYECTABLE 100 MG/2ML","INY","MG",,"100",,,,"2813","2813","3151","0","0","12","0","0",,"A"
"154","M01AE03","M01AE03","1","1","1","PROFENID IV 100 MG","PROFENID IV 100 MG","INY","MG",,"100",,,,"5893","5893","6600","0","0","12","0","0",,"A"
"155",,,"3","3","1","PRODEK 3/0 REF DW 9422R","PRODEK 3/0 REF DW 9422R",,"UNIDAD",,,,,,"4500","4500","5040","0","0","12","0","0",,"A"
"156",,,"3","3","1","PROLENE 0 CT-1 REF 8424","PROLENE 0 CT-1 REF 8424",,"UNIDAD",,,,,,"7204","7204","8068","0","0","12","0","0",,
"157",,,"3","3","1","PROLENE2/0 CT 2 REF 8411","PROLENE2/0 CT 2 REF 8411",,"UNIDAD",,,,,,"7440","7440","8333","0","0","12","0","0",,
"158",,,"3","3","1","PROLENE 2/0","PROLENE 2/0",,"UNIDAD",,,,,,"8633","8633","9669","1","0","12","3","0",,
"159",,,"3","3","1","PROLENE 3/0","PROLENE 3/0",,"UNIDAD",,,,,,"8500","10362","9520","1","0","12","5","0",,
"160",,,"3","3","1","PROLENE 3/0 REF 8622","PROLENE 3/0 REF 8622",,"UNIDAD",,,,,,"7333","7333","8213","0","0","12","0","0",,
"161",,,"3","3","1","PROLENE 4/0 REF 8521","PROLENE 4/0 REF 8521",,"UNIDAD",,,,,,"20619","15833","23093","0","0","12","0","0",,
"162",,,"3","3","1","PROLENE 4/0 E-19 REF 8682","PROLENE 4/0 E-19 REF 8682",,"UNIDAD",,,,,,"9125","9125","10220","0","0","12","0","0",,
"163",,,"3","3","1","PROLENE 5/0 REF 8698","PROLENE 5/0 REF 8698",,"UNIDAD",,,,,,"14125","14125","15820","0","0","12","0","0",,
